level,environment,algorithm,seed,step,return_mean,return_std
l1,CartPole-v1,ac_none,0,1000,10.5,0.5
l1,CartPole-v1,ac_none,0,2000,10.5,0.5
l1,CartPole-v1,ac_none,0,3000,10.5,0.5
l1,CartPole-v1,ac_none,0,4000,10.5,0.5
l1,CartPole-v1,ac_none,1,1000,40.0,3.0
l1,CartPole-v1,ac_none,1,2000,37.5,2.5
l1,CartPole-v1,ac_none,1,3000,34.0,2.0
l1,CartPole-v1,ac_none,1,4000,34.0,2.0
l1,CartPole-v1,ac_avg,0,1000,10.5,0.5
l1,CartPole-v1,ac_avg,0,2000,10.5,0.5
l1,CartPole-v1,ac_avg,0,3000,10.5,0.5
l1,CartPole-v1,ac_avg,0,4000,10.5,0.5
l1,CartPole-v1,ac_avg,1,1000,40.0,3.0
l1,CartPole-v1,ac_avg,1,2000,37.5,2.5
l1,CartPole-v1,ac_avg,1,3000,34.0,2.0
l1,CartPole-v1,ac_avg,1,4000,34.0,2.0
l1,CartPole-v1,ac_value,0,1000,10.5,0.5
l1,CartPole-v1,ac_value,0,2000,10.5,0.5
l1,CartPole-v1,ac_value,0,3000,10.5,0.5
l1,CartPole-v1,ac_value,0,4000,10.5,0.5
l1,CartPole-v1,ac_value,1,1000,37.0,3.0
l1,CartPole-v1,ac_value,1,2000,34.0,2.0
l1,CartPole-v1,ac_value,1,3000,36.5,3.5
l1,CartPole-v1,ac_value,1,4000,60.5,10.5
l1,CartPole-v1,ac_gae,0,1000,10.5,0.5
l1,CartPole-v1,ac_gae,0,2000,10.5,0.5
l1,CartPole-v1,ac_gae,0,3000,10.5,0.5
l1,CartPole-v1,ac_gae,0,4000,10.5,0.5
l1,CartPole-v1,ac_gae,1,1000,32.5,2.5
l1,CartPole-v1,ac_gae,1,2000,23.0,2.0
l1,CartPole-v1,ac_gae,1,3000,25.0,2.0
l1,CartPole-v1,ac_gae,1,4000,34.0,2.0
