level,environment,algorithm,seed,step,return_mean,return_std
l1,LunarLander-v3,ac_none,0,1000,-473.64326729379394,146.14487532111247
l1,LunarLander-v3,ac_none,0,2000,-511.9475986906833,184.44920671800185
l1,LunarLander-v3,ac_none,0,3000,-533.2688310184528,205.7704390457713
l1,LunarLander-v3,ac_none,0,4000,-527.1818133512498,199.68342137856837
l1,LunarLander-v3,ac_none,1,1000,-269.78966277293443,168.42259587863663
l1,LunarLander-v3,ac_none,1,2000,-252.19958592127105,143.5918480589241
l1,LunarLander-v3,ac_none,1,3000,-353.0859219688358,229.10504945017
l1,LunarLander-v3,ac_none,1,4000,-406.1415293022402,299.4030381987184
l1,LunarLander-v3,ac_avg,0,1000,-473.64326729379394,146.14487532111247
l1,LunarLander-v3,ac_avg,0,2000,-511.9475986906833,184.44920671800185
l1,LunarLander-v3,ac_avg,0,3000,-533.2688310184528,205.7704390457713
l1,LunarLander-v3,ac_avg,0,4000,-527.1818133512498,199.68342137856837
l1,LunarLander-v3,ac_avg,1,1000,-269.78966277293443,168.42259587863663
l1,LunarLander-v3,ac_avg,1,2000,-252.19958592127105,143.5918480589241
l1,LunarLander-v3,ac_avg,1,3000,-353.0859219688358,229.10504945017
l1,LunarLander-v3,ac_avg,1,4000,-406.1415293022402,299.4030381987184
l1,LunarLander-v3,ac_value,0,1000,-431.62359459170807,104.1252026190266
l1,LunarLander-v3,ac_value,0,2000,-469.6225225086451,142.12413053596362
l1,LunarLander-v3,ac_value,0,3000,-259.8485110985538,67.64988087412766
l1,LunarLander-v3,ac_value,0,4000,-244.80743480648883,82.69095716619265
l1,LunarLander-v3,ac_value,1,1000,-283.2110136581739,138.7711880582995
l1,LunarLander-v3,ac_value,1,2000,-153.8113444374742,20.71485834890821
l1,LunarLander-v3,ac_value,1,3000,-175.8646492714061,45.963377365451734
l1,LunarLander-v3,ac_value,1,4000,-416.7949384704176,288.7496290305409
l1,LunarLander-v3,ac_gae,0,1000,-260.67735553197383,66.82103644070766
l1,LunarLander-v3,ac_gae,0,2000,-352.97371088786804,25.47531891518659
l1,LunarLander-v3,ac_gae,0,3000,-422.48875819364673,94.99036622096526
l1,LunarLander-v3,ac_gae,0,4000,-441.254634384555,113.75624241187353
l1,LunarLander-v3,ac_gae,1,1000,-228.20024754953386,118.50925816072127
l1,LunarLander-v3,ac_gae,1,2000,-231.0783590375076,119.5611936716686
l1,LunarLander-v3,ac_gae,1,3000,-179.09112081724646,92.0702244079143
l1,LunarLander-v3,ac_gae,1,4000,-228.6167649665924,113.93058108552204
