level,environment,algorithm,seed,step,return_mean,return_std
l2,LunarLander-v3,actor_critic_gae,0,1000,-260.67735553197383,66.82103644070766
l2,LunarLander-v3,actor_critic_gae,0,2000,-352.97371088786804,25.47531891518659
l2,LunarLander-v3,actor_critic_gae,0,3000,-422.48875819364673,94.99036622096526
l2,LunarLander-v3,actor_critic_gae,0,4000,-441.254634384555,113.75624241187353
l2,LunarLander-v3,ppo_vanilla,0,1000,-135.7407965809285,16.681198425776728
l2,LunarLander-v3,ppo_vanilla,0,2000,-143.62994971448518,10.63658317941416
l2,LunarLander-v3,ppo_vanilla,0,3000,-171.5422414186474,52.48264326349562
l2,LunarLander-v3,ppo_vanilla,0,4000,-392.4885468227832,219.0842390027345
l2,LunarLander-v3,ppo_enhanced,0,1000,-135.7407965809285,16.681198425776728
l2,LunarLander-v3,ppo_enhanced,0,2000,-277.15678572773993,158.09718757258815
l2,LunarLander-v3,ppo_enhanced,0,3000,-308.8786175445768,197.32990675129165
l2,LunarLander-v3,ppo_enhanced,0,4000,-285.59620744847757,166.5366092933258
l2,LunarLander-v3,actor_critic_gae,1,1000,-228.20024754953386,118.50925816072127
l2,LunarLander-v3,actor_critic_gae,1,2000,-231.0783590375076,119.5611936716686
l2,LunarLander-v3,actor_critic_gae,1,3000,-179.09112081724646,92.0702244079143
l2,LunarLander-v3,actor_critic_gae,1,4000,-228.6167649665924,113.93058108552204
l2,LunarLander-v3,ppo_vanilla,1,1000,-373.09733566893266,248.39397447534685
l2,LunarLander-v3,ppo_vanilla,1,2000,-524.4222837430232,181.12228375793538
l2,LunarLander-v3,ppo_vanilla,1,3000,-520.0087467838715,185.53582071708706
l2,LunarLander-v3,ppo_vanilla,1,4000,-553.2380765846538,152.3064909163048
l2,LunarLander-v3,ppo_enhanced,1,1000,-379.31917563397445,245.06306457590307
l2,LunarLander-v3,ppo_enhanced,1,2000,-109.93530837548627,23.161177713079688
l2,LunarLander-v3,ppo_enhanced,1,3000,-220.3498380728043,87.25335198423834
l2,LunarLander-v3,ppo_enhanced,1,4000,-193.7924560529922,74.19826098860379
