level,environment,algorithm,seed,step,return_mean,return_std
l3,Pendulum-v1,ppo_continuous,0,1000,-1513.1275429911807,12.937398799702237
l3,Pendulum-v1,ppo_continuous,0,2000,-1512.4716310476297,8.937079667128955
l3,Pendulum-v1,ppo_continuous,0,3000,-1419.0429473915506,12.94160920362549
l3,Pendulum-v1,ppo_continuous,0,4000,-1213.4147754338624,10.230196023127291
l3,Pendulum-v1,sac,0,1000,-1403.8654832918164,48.823626829858206
l3,Pendulum-v1,sac,0,2000,-1399.2636757121932,26.508386354266463
l3,Pendulum-v1,sac,0,3000,-1030.86252780256,27.8405316519773
l3,Pendulum-v1,sac,0,4000,-1132.46547399426,69.76265889551564
l3,Pendulum-v1,ppo_continuous,1,1000,-1406.7015242588918,10.474255263845862
l3,Pendulum-v1,ppo_continuous,1,2000,-1188.9266875510955,8.341965420729366
l3,Pendulum-v1,ppo_continuous,1,3000,-1067.696350057129,46.12306930567769
l3,Pendulum-v1,ppo_continuous,1,4000,-1098.0407196357278,33.637755113729895
l3,Pendulum-v1,sac,1,1000,-1632.6745282671218,27.243052807185563
l3,Pendulum-v1,sac,1,2000,-1471.7235407508474,35.00111881030364
l3,Pendulum-v1,sac,1,3000,-1108.3151842867342,55.40215228805528
l3,Pendulum-v1,sac,1,4000,-773.9606608118017,1.6126251381684824
